Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779882360,10,,Aggregated,8.400000,0.000000,18,21,23,26,32,41,940,1400,2400,2400,2400,320,0,18,57.824378649456776,7.47191600385122,2352.2167500050273,39.24375
1779882361,10,,Aggregated,8.500000,0.000000,18,21,23,25,32,40,940,1400,2400,2400,2400,328,0,18,56.898519694563795,7.47191600385122,2352.2167500050273,39.38719512195122
1779882362,10,,Aggregated,8.400000,0.000000,18,21,23,25,31,40,940,1400,2400,2400,2400,337,0,18,55.92770425463579,7.47191600385122,2352.2167500050273,39.74183976261128
1779882363,10,,Aggregated,8.200000,0.000000,18,21,23,25,31,39,940,1400,2400,2400,2400,345,0,18,55.046203141471885,7.47191600385122,2352.2167500050273,39.60289855072464
1779882364,10,,Aggregated,8.300000,0.000000,18,21,23,25,31,39,940,1400,2400,2400,2400,355,0,18,54.013417838928355,7.47191600385122,2352.2167500050273,39.667605633802815
1779882365,10,,Aggregated,8.300000,0.000000,18,21,23,25,31,36,940,1400,2400,2400,2400,363,0,18,53.27683964682635,7.47191600385122,2352.2167500050273,39.53168044077135
1779882366,10,,Aggregated,8.700000,0.000000,18,21,23,25,31,36,940,1400,2400,2400,2400,367,0,18,52.92540804035099,7.47191600385122,2352.2167500050273,39.39509536784741
1779882367,10,,Aggregated,8.300000,0.000000,18,21,23,25,31,36,940,1400,2400,2400,2400,375,0,18,52.20171578337128,7.47191600385122,2352.2167500050273,39.50933333333333
1779882368,10,,Aggregated,8.200000,0.000000,18,21,23,25,31,35,940,1400,2400,2400,2400,385,0,18,51.32708518105172,7.47191600385122,2352.2167500050273,39.04155844155844
1779882369,10,,Aggregated,8.100000,0.000000,18,21,23,25,31,35,940,1400,2400,2400,2400,391,0,18,50.75299180225324,7.47191600385122,2352.2167500050273,39.11764705882353
